Samples	Lat	Lon	Elev	MAT	MAP	Clay	Silt	Sand	pH	SOC	TN	CN	SWC
ChrMrs	-43.4511917	172.6603583	22	11.9	611	41	36	23	5.55	1.804	0.1655	10.915	6.2
ChrRic	-43.5293472	172.5943528	15	11.9	609	41	36	23	5.51	7.9975	0.592	13.51	40.42
Dunlsp	-45.9241306	170.4107833	20	10.5	777	34	43	23	4.3	5.5045	0.3375	16.315	7.87
DunSiH	-45.8573833	170.5480194	315	10	971	34	43	23	4.9	8.63	0.504	17.12301587	28.27
HamAva	-37.7704167	175.2414111	54	14.1	1299	31	49	20	4.64	7.595	0.451	16.835	17.6
HamCla	-37.7742861	175.2902556	27	14	1259	31	49	20	4.32	7.634	0.4865	15.695	42.4
HamMin	-37.7738167	175.2497306	43	14.1	1299	31	49	20	3.43	26.82	1.275	21.04	60.53
InvEsW	-46.4274222	168.3432583	27	9.9	1076	34	43	23	5.26	8.3805	0.483	17.36	24.53
InvKBR	-46.4274222	168.3432583	27	9.9	1076	34	43	23	3.45	35.15	1.4335	24.515	65.73
InvWaR	-46.3891	168.3498556	7	10	1059	34	43	23	4.69	9.278	0.544	17.11	25.87
iSBio002	47.8361111	14.4433333	885.25	8.395837545	1243.715027	42	47	11	4	2.57	0.14	18.35714286	41.63197336
iSBio004	47.8405556	14.4422222	887.5	8.395837545	1243.715027	27	50	23	7.207867719	19.917624	1.18031	16.87490913	50.44510386
iSBio006	47.8391667	14.4441667	885.25	8.395837545	1243.715027	42	47	11	6.556511672	8.604755	0.537258	16.01605746	41.18842052
iSBio008	47.8408333	14.435	860.5	7.987497091	1264.460022	24.15	44.45	31	3.673029471	11.010488	0.636855	17.28884597	34.13129319
iSBio010	48.1083333	16.075	478	10.39998817	752.2999878	36	60	4	4.644520539	4.358852	0.395662	11.01660508	19.13510811
iSBio014	47.6333333	15.6583333	758.5	7.641656637	1029.35498	26	50	24	4.43	4.617001	0.299546	15.41332884	21.78627479
iSBio015	47.0611111	14.1111111	1502.5	4.474999905	1227.434998	24	33	43	2.590782692	39.472336	1.391117	28.37456231	64.15376935
iSBio017	47.3305556	12.4055556	1122.25	7.4458251	1351.780029	6.5	24	69.5	3.681733713	6.213486	0.447624	13.88103855	28.00628392
iSBio020	47.4991667	14.1533333	800.5	7.491677999	1085.47998	6	45.66666667	48.33333333	6.049414119	4.572012	0.405545	11.27374767	11.22654155
iSBio022	47.1166667	11.3	1169.75	5.366662502	1214.919983	5.6	39.1	55.3	6.667386384	4.089445	0.362512	11.28085415	18.18181818
iSBio023	47.58194444	14.345	647.25	9.624994278	1256.944946	25.7	46.9	27.1	2.98	45.24333333	1.254596255	36.06206632	92.63742806
iSBio024	47.58194444	14.345	647.25	9.624994278	1256.944946	25.7	46.9	27.1	2.98	45.24333333	1.254596255	36.06206632	92.87833828
iSBio032	50.9752778	3.8041667	23.5	11.59166908	631.6199951	10.35	49.15	40.5	2.825429738	10.596136	0.557846	18.99473331	31.01634684
iSBio034	51.4019444	5.0541667	36	11.37917519	758.5600281	1	12.5	86.5	2.733663918	3.012949	0.102616	29.36139588	4.985835694
iSBio036	51.0697222	3.0372222	34.25	11.42916298	645.8999939	3.5	24.5	72	2.787823081	2.876591	0.16653	17.27371044	16.0442993
iSBio040	42.63	23.3533333	647	11.11666298	899.6000061	18.05	7.7	74.25	7.083663918	9.645991	0.528847	18.23966289	18.83629191
iSBio044	42.63	23.3533333	977	11.11666298	899.6000061	9.99	17.365	72.645	4.372837225	3.913311	0.243368	16.07980918	26.32696391
iSBio046	42.6308333	23.2041667	1121	9.579172134	933.4400024	13.58	20.425	65.995	4.249565488	6.090517	0.527937	11.53644658	30.29904699
iSBio076	-26.0134	-70.6093	814	16.07915688	68.46500015	15.2	15.55	69.5	5.929017322	6.633964	0.371815	17.84210965	1.021421478
iSBio080	-30.0539	-71.0949	649.5	16.29168129	271.2399979	15	13.5	71.5	6.532837225	1.47851	0.122034	12.11555796	0.765121986
iSBio082	-32.9562	-71.0633	739.5	14.80416298	417.7550201	11	15.5	73.5	5.945715384	0.005566	0.00031	17.95483871	0.76508926
iSBio084	-37.8039	-73.0147	1244.25	7.204156399	1833.880005	22.11616162	24.63131313	53.25252525	3.716511672	20.491919	0.835632	24.5226595	25.8334997
iSBio088	-37.821	-72.997	1234.5	7.237496853	1803.474976	35.8	30.45	33.75	4.5	14.546146	0.557563	26.08879355	7.222699914
iSBio090	-32.9558	-71.0658	716	14.80416298	417.7550201	18.25	12.9	68.8	5.660361283	7.975797	0.42079	18.95434064	2.250391682
iSBio091	-30.0544	-71.0928	634	16.29168129	271.2399979	15.1	19.3	65.5	6.360434077	0.970819	0.10601	9.157805867	0.366300366
iSBio092	-30.0544	-71.0928	634	16.29168129	271.2399979	15.1	19.3	65.5	6.360434077	0.970819	0.10601	9.157805867	0.170212766
iSBio099	49.9733333	11.5138889	341.5	9.991662979	726.5249939	24.9	41.1	34.1	3.810434077	3.805334	0.264177	14.40448639	6.543385491
